r	rho_r^{-1}(0.5)	err
0	0.50000000000000000001	1* 10^-20
1	0.94444444444444444445	1* 10^-20
2	0.99382716049382716050	1* 10^-20
3	0.99931412894375857339	1* 10^-20
4	0.99992379210486206371	1* 10^-20
5	0.99999153245609578486	1* 10^-20
6	0.99999905916178842054	1* 10^-20
7	0.99999953245609578486	1* 10^-20
8	0.99999985916178842054	1* 10^-20
9	0.99999997546242093562	1* 10^-20
10	0.99999999638471343730	1* 10^-20
11	0.99999999950941260415	1* 10^-20
12	0.99999999993660140047	1* 10^-20
13	0.99999999999206682228	1* 10^-20
14	0.99999999999902964692	1* 10^-20
15	0.99999999999988329411	1* 10^-20
16	0.99999999999998614379	1* 10^-20
17	0.99999999999999129411	1* 10^-20
18	0.99999999999999766379	1* 10^-20
19	0.99999999999999959554	1* 10^-20
20	0.99999999999999993978	1* 10^-20
