r	rho_r^{-1}(0.5)	err
0	0.50000000000000000001	1* 10^-20
1	0.87500000000000000001	1* 10^-20
2	0.96875000000000000001	1* 10^-20
3	0.99218750000000000001	1* 10^-20
4	0.99275000000000000001	1* 10^-20
5	0.99698750000000000001	1* 10^-20
6	0.99900687500000000001	1* 10^-20
7	0.99970371875000000001	1* 10^-20
8	0.99991632968750000001	1* 10^-20
9	0.99991875875000000001	1* 10^-20
10	0.99996548168750000001	1* 10^-20
11	0.99998822162187500001	1* 10^-20
12	0.99999636420546875001	1* 10^-20
13	0.99999894052336718751	1* 10^-20
14	0.99999895943106875001	1* 10^-20
15	0.99999955394032718751	1* 10^-20
16	0.99999984569826579688	1* 10^-20
17	0.99999995166789444922	1* 10^-20
18	0.99999998571004881231	1* 10^-20
19	0.99999998589341508922	1* 10^-20
20	0.99999999392417376591	1* 10^-20
